Date,Close/Last,Volume,Open,High,Low
03/03/2023,$52.35,15879900,$51.48,$52.385,$51.48
03/02/2023,$51.40,18106260,$51.18,$51.445,$50.46
03/01/2023,$51.50,15965960,$50.46,$51.54,$50.30
02/28/2023,$50.69,12932370,$50.48,$50.87,$50.25
02/27/2023,$50.47,14190170,$50.50,$51.185,$50.39
02/24/2023,$50.18,14547340,$50.00,$50.34,$49.65
02/23/2023,$50.38,12550660,$50.34,$50.62,$49.695
02/22/2023,$50.04,14431530,$49.89,$50.48,$49.37
02/21/2023,$49.84,22899170,$50.74,$50.91,$49.43
02/17/2023,$51.42,12297930,$51.26,$51.585,$50.915
02/16/2023,$51.46,9397958,$51.35,$51.83,$51.095
02/15/2023,$51.82,9221645,$50.84,$51.88,$50.81
02/14/2023,$51.61,16283330,$50.93,$51.745,$50.49
02/13/2023,$51.00,11626860,$49.99,$51.08,$49.92
02/10/2023,$50.11,16519880,$49.82,$50.19,$49.15
02/09/2023,$49.98,16794940,$51.35,$51.46,$49.855
02/08/2023,$51.15,13242270,$50.77,$51.51,$50.60
02/07/2023,$51.13,14360970,$50.75,$51.755,$50.59
02/06/2023,$50.86,16152020,$50.40,$50.99,$49.91
02/03/2023,$50.95,20050550,$51.02,$51.5405,$50.53
02/02/2023,$52.22,22331710,$52.58,$53.23,$51.725
02/01/2023,$52.15,22111880,$51.54,$52.74,$51.41
01/31/2023,$52.22,34823370,$51.86,$52.22,$51.63
01/30/2023,$51.75,11126230,$51.44,$52.0366,$51.34
01/27/2023,$51.86,18294030,$51.96,$52.19,$51.66
01/26/2023,$52.19,22393310,$52.08,$52.26,$51.505
01/25/2023,$51.90,20718960,$50.85,$51.94,$50.85
01/24/2023,$51.42,13303240,$51.42,$51.95,$50.42
01/23/2023,$51.98,18531210,$51.05,$52.29,$50.88
01/20/2023,$51.09,19957280,$49.68,$51.11,$49.26
01/19/2023,$49.37,14869050,$48.65,$49.60,$48.47
01/18/2023,$49.43,18952040,$50.24,$50.475,$49.24
01/17/2023,$50.31,28193490,$49.86,$50.74,$49.735
01/13/2023,$49.92,28036990,$48.51,$50.23,$47.74
01/12/2023,$49.09,16287780,$49.06,$49.475,$48.55
01/11/2023,$48.71,17143690,$48.21,$48.74,$47.86
01/10/2023,$48.19,12429950,$47.56,$48.21,$47.195
01/09/2023,$47.54,16745490,$47.89,$48.32,$47.465
01/06/2023,$47.31,16736320,$47.06,$47.69,$46.6115
01/05/2023,$46.75,12314950,$46.70,$46.9575,$45.97
01/04/2023,$46.96,21507220,$46.54,$47.54,$46.335
01/03/2023,$45.78,19563970,$45.75,$46.745,$45.535
12/30/2022,$45.23,11802830,$44.93,$45.28,$44.76
12/29/2022,$45.16,14124130,$44.84,$45.24,$44.645
12/28/2022,$44.62,12882160,$44.43,$44.87,$44.1908
12/27/2022,$44.39,14777800,$44.28,$44.54,$43.97
12/23/2022,$44.26,15143780,$44.00,$44.36,$43.88
12/22/2022,$43.99,24476120,$44.44,$44.44,$42.905
12/21/2022,$44.81,22492270,$44.21,$44.89,$44.17
12/20/2022,$43.81,14412680,$44.15,$44.55,$43.795
12/19/2022,$43.93,18019060,$44.36,$44.475,$43.48
12/16/2022,$44.35,26955410,$44.195,$44.66,$43.81
12/15/2022,$44.62,20202400,$45.09,$45.26,$44.13
12/14/2022,$45.98,16587510,$46.51,$47.04,$45.72
12/13/2022,$46.59,25655350,$46.84,$47.85,$46.235
12/12/2022,$45.77,19045060,$44.65,$45.80,$44.355
12/09/2022,$44.86,14030600,$44.60,$45.19,$44.55
12/08/2022,$44.69,15622230,$44.85,$45.365,$44.26
12/07/2022,$44.67,20233380,$44.64,$45.45,$44.31
12/06/2022,$44.98,22160770,$45.65,$45.89,$44.20
12/05/2022,$45.64,20397550,$46.935,$47.12,$45.38
12/02/2022,$47.24,12745450,$47.28,$47.45,$46.81
12/01/2022,$47.78,19797620,$48.275,$48.67,$47.35
11/30/2022,$48.41,23993090,$47.08,$48.425,$46.19
11/29/2022,$47.57,12224730,$47.23,$47.90,$47.21
11/28/2022,$47.23,18992490,$47.91,$48.19,$46.83
11/25/2022,$48.29,6823564,$48.20,$48.53,$48.13
11/23/2022,$48.24,22863300,$49.34,$49.47,$47.85
11/22/2022,$49.33,13132000,$49.14,$49.68,$49.13
11/21/2022,$48.88,9884137,$48.66,$49.04,$48.275
11/18/2022,$48.66,12884320,$48.73,$49.07,$48.155
11/17/2022,$48.25,11969840,$47.68,$48.26,$47.395
11/16/2022,$48.37,18052060,$48.88,$48.96,$48.14
11/15/2022,$49.03,19839440,$49.83,$50.42,$48.485
11/14/2022,$49.02,19572470,$49.94,$49.98,$49.02
11/11/2022,$50.19,26009160,$48.50,$50.57,$48.44
11/10/2022,$48.42,27915470,$46.71,$48.755,$46.56
11/09/2022,$45.36,13298950,$45.73,$45.86,$45.15
11/08/2022,$46.12,16737120,$45.80,$46.53,$45.63
11/07/2022,$45.73,11792260,$45.48,$45.86,$45.21
11/04/2022,$45.13,15204120,$44.61,$45.45,$44.265
11/03/2022,$44.58,16025760,$45.16,$45.41,$44.51
11/02/2022,$45.55,20306830,$46.13,$47.01,$45.54
11/01/2022,$46.22,15505240,$46.30,$46.48,$46.00
10/31/2022,$45.86,15600440,$45.71,$46.22,$45.57
10/28/2022,$46.13,13457900,$45.56,$46.28,$45.025
10/27/2022,$45.44,15687890,$45.87,$46.14,$45.3475
10/26/2022,$45.41,16522280,$45.50,$45.98,$45.215
10/25/2022,$45.32,20085740,$44.045,$45.59,$43.91
10/24/2022,$44.41,14392300,$44.32,$44.67,$43.97
10/21/2022,$44.26,18783580,$42.94,$44.32,$42.68
10/20/2022,$42.92,15421560,$43.39,$43.94,$42.72
10/19/2022,$43.34,15142820,$43.83,$44.10,$42.885
10/18/2022,$44.15,21302090,$44.66,$44.945,$43.645
10/17/2022,$43.59,20835360,$44.31,$44.43,$43.185
10/14/2022,$43.23,28895420,$43.09,$44.42,$42.80
10/13/2022,$42.95,27964880,$40.20,$43.18,$40.005
10/12/2022,$40.84,20862230,$40.39,$41.36,$40.045
10/11/2022,$40.45,20176070,$41.27,$41.56,$40.42
10/10/2022,$41.60,13768810,$42.49,$42.61,$41.525
10/07/2022,$42.19,18101280,$42.70,$42.79,$41.94
10/06/2022,$43.06,17738370,$43.42,$43.80,$42.79
10/05/2022,$43.84,15458510,$43.76,$44.00,$43.11
10/04/2022,$44.41,20659980,$43.57,$44.75,$43.47
10/03/2022,$42.56,22001010,$41.55,$42.92,$41.06
09/30/2022,$41.67,22266400,$42.39,$42.97,$41.61
09/29/2022,$42.39,20982220,$42.90,$43.075,$42.01
09/28/2022,$43.40,19818130,$42.59,$43.62,$42.45
09/27/2022,$42.59,21255450,$43.23,$43.39,$42.075
09/26/2022,$42.99,23684430,$43.69,$44.18,$42.575
09/23/2022,$44.26,30917970,$44.98,$45.11,$43.30
09/22/2022,$45.58,18443070,$46.61,$46.87,$45.49
09/21/2022,$46.33,18641840,$47.25,$47.73,$46.31
09/20/2022,$47.25,16650160,$47.82,$47.965,$46.86
09/19/2022,$48.24,14716060,$47.49,$48.48,$47.44
09/16/2022,$48.11,19995610,$47.99,$48.24,$47.47
09/15/2022,$48.44,16556910,$48.36,$49.245,$48.28
09/14/2022,$48.43,25701670,$49.13,$49.51,$47.70
09/13/2022,$49.00,22148190,$49.90,$50.20,$48.57
09/12/2022,$50.87,13506460,$51.26,$51.64,$50.70
09/09/2022,$50.67,18714380,$50.31,$51.005,$50.25
09/08/2022,$49.90,18088820,$48.40,$49.945,$48.12
09/07/2022,$48.63,15413880,$47.74,$48.74,$47.60
09/06/2022,$48.22,15544520,$48.97,$49.10,$47.62
09/02/2022,$48.84,15568100,$49.31,$50.15,$48.62
09/01/2022,$48.75,14470940,$48.77,$48.77,$47.805
08/31/2022,$48.81,16582050,$49.28,$49.55,$48.67
08/30/2022,$49.08,16735520,$49.84,$49.84,$48.70
08/29/2022,$49.37,15103090,$49.67,$49.72,$49.03
08/26/2022,$49.78,20049690,$52.28,$52.34,$49.75
08/25/2022,$52.06,12569020,$51.21,$52.25,$51.07
08/24/2022,$51.01,11159330,$50.93,$51.2887,$50.625
08/23/2022,$50.95,11126090,$51.26,$51.68,$50.86
08/22/2022,$51.25,16749590,$51.56,$51.77,$50.985
08/19/2022,$52.61,14798800,$53.15,$53.41,$52.37
08/18/2022,$53.55,10573280,$53.60,$53.72,$53.04
08/17/2022,$53.76,13370810,$53.42,$54.02,$53.30
08/16/2022,$54.18,14707990,$53.81,$54.56,$53.74
08/15/2022,$54.07,11595230,$53.75,$54.19,$53.472
08/12/2022,$54.38,15493650,$54.18,$54.40,$53.625
08/11/2022,$54.00,13450260,$53.90,$54.4711,$53.75
08/10/2022,$53.19,32416220,$52.81,$54.40,$52.735
08/09/2022,$52.09,9739280,$51.64,$52.105,$51.42
08/08/2022,$51.47,11602560,$51.97,$52.16,$51.41
08/05/2022,$51.66,13868790,$51.12,$52.34,$50.91
08/04/2022,$51.26,10152190,$51.56,$51.75,$51.07
08/03/2022,$51.61,13570580,$51.24,$51.7798,$50.825
08/02/2022,$50.75,17378470,$51.76,$52.095,$50.73
08/01/2022,$51.92,13051780,$51.49,$52.205,$51.14
07/29/2022,$51.90,16783450,$51.72,$52.25,$51.50
07/28/2022,$52.23,12729210,$52.09,$52.715,$51.31
07/27/2022,$52.35,17087280,$51.70,$52.705,$51.3199
07/26/2022,$51.40,18960800,$51.77,$52.80,$51.2427
07/25/2022,$52.16,16794730,$52.43,$53.15,$52.065
07/22/2022,$51.91,14903450,$52.52,$53.02,$51.49
07/21/2022,$52.59,18261920,$52.11,$52.63,$51.79
07/20/2022,$52.45,24546510,$51.50,$52.45,$51.45
07/19/2022,$52.13,28113560,$50.88,$52.41,$50.83
07/18/2022,$50.07,26042520,$50.66,$51.50,$49.73
07/15/2022,$49.98,86566230,$47.00,$50.62,$46.19
07/14/2022,$44.14,27337560,$44.48,$44.48,$43.44
07/13/2022,$45.50,21793570,$45.70,$45.775,$44.66
07/12/2022,$46.13,16966730,$45.58,$46.93,$45.50
07/11/2022,$46.19,12782310,$46.42,$46.80,$46.09
07/08/2022,$46.82,11789890,$47.26,$47.56,$46.58
07/07/2022,$46.93,15598940,$46.91,$47.30,$46.61
07/06/2022,$46.15,14952820,$46.30,$46.68,$45.455
07/05/2022,$46.61,19167270,$45.69,$46.65,$44.93
07/01/2022,$46.87,16539620,$45.74,$47.04,$45.34
06/30/2022,$45.99,21207860,$46.22,$46.71,$45.26
06/29/2022,$47.10,20980960,$47.26,$47.80,$46.63
06/28/2022,$47.21,22040950,$48.40,$49.11,$46.94
06/27/2022,$47.83,21198170,$48.06,$48.40,$47.25
06/24/2022,$47.86,27322640,$45.56,$48.26,$45.53
06/23/2022,$46.35,24137160,$46.87,$46.91,$45.59
06/22/2022,$47.20,19769310,$47.33,$47.985,$46.94
06/21/2022,$47.96,20289710,$47.96,$48.34,$47.515
06/17/2022,$46.52,35111370,$47.12,$47.29,$45.99
06/16/2022,$46.89,24744920,$46.80,$47.19,$45.96
06/15/2022,$47.58,30001540,$46.47,$48.18,$46.45
06/14/2022,$45.96,25223570,$46.19,$46.73,$45.55
06/13/2022,$45.69,30308380,$46.66,$47.01,$45.40
06/10/2022,$47.71,28919750,$48.72,$49.15,$47.37
06/09/2022,$49.97,14287770,$51.54,$51.60,$49.96
06/08/2022,$51.41,13207660,$51.70,$52.105,$51.055
06/07/2022,$52.10,15528810,$51.0299,$52.23,$50.8345
06/06/2022,$51.40,18473210,$51.80,$52.57,$51.37
06/03/2022,$51.33,16550010,$52.07,$52.33,$51.215
06/02/2022,$52.43,17473600,$52.40,$52.50,$51.60
06/01/2022,$52.39,23902040,$53.50,$53.7413,$51.73
05/31/2022,$53.41,25805370,$53.03,$53.855,$52.44
05/27/2022,$53.62,19509260,$54.00,$54.00,$53.035
05/26/2022,$54.09,19140720,$53.46,$54.25,$53.1699
05/25/2022,$52.70,23507940,$52.56,$53.12,$52.02
05/24/2022,$52.68,24344840,$52.47,$53.005,$51.49
05/23/2022,$52.77,35166760,$51.35,$53.60,$51.15
05/20/2022,$49.75,29025510,$50.26,$50.73,$48.51
05/19/2022,$49.78,27279370,$48.66,$50.295,$48.59
05/18/2022,$49.32,32181560,$50.73,$51.06,$49.01
05/17/2022,$51.05,46643400,$49.84,$51.61,$49.70
05/16/2022,$47.46,16919070,$47.59,$48.07,$47.00
05/13/2022,$47.64,21739370,$46.81,$47.85,$46.81
05/12/2022,$46.56,36301480,$47.26,$47.40,$45.395
05/11/2022,$47.66,30179000,$48.95,$49.94,$47.56
05/10/2022,$48.75,31054750,$50.54,$50.685,$47.66
05/09/2022,$49.89,28888440,$50.99,$51.22,$49.59
05/06/2022,$51.62,25912860,$51.24,$52.00,$50.58
05/05/2022,$51.31,25755990,$51.44,$52.1267,$50.69
05/04/2022,$52.23,26643620,$50.17,$52.395,$50.04
05/03/2022,$50.10,25374480,$49.33,$50.81,$49.08
05/02/2022,$48.71,25903950,$48.46,$48.8568,$47.78
04/29/2022,$48.21,21844940,$49.66,$49.91,$48.05
04/28/2022,$50.02,20121030,$49.91,$50.03,$49.01
04/27/2022,$49.60,24707530,$49.76,$50.615,$49.535
04/26/2022,$50.23,18335840,$50.53,$51.595,$50.22
04/25/2022,$51.13,22079320,$50.78,$51.24,$49.68
04/22/2022,$51.23,23073880,$52.44,$52.595,$51.17
04/21/2022,$52.63,15952940,$53.54,$53.7742,$52.515
04/20/2022,$53.10,20532810,$53.40,$53.98,$52.885
04/19/2022,$52.92,19996840,$52.73,$53.175,$52.5026
04/18/2022,$52.31,28396340,$50.84,$53.21,$50.78
04/14/2022,$50.93,34043120,$50.66,$51.90,$50.28
04/13/2022,$50.15,21194240,$49.28,$50.18,$49.20
04/12/2022,$50.34,18755500,$50.60,$51.1242,$50.05
04/11/2022,$50.55,20895660,$50.79,$52.25,$50.38
04/08/2022,$50.88,26853270,$49.84,$51.30,$49.83
04/07/2022,$50.03,28689860,$50.56,$50.605,$49.04
04/06/2022,$50.53,25196600,$51.01,$51.09,$50.40
04/05/2022,$51.58,23065510,$52.06,$52.4816,$51.423
04/04/2022,$52.80,29319600,$52.25,$52.995,$51.66
04/01/2022,$52.33,40073090,$53.47,$53.74,$51.765
03/31/2022,$53.40,29202390,$54.51,$54.86,$53.355
03/30/2022,$54.97,32222390,$56.01,$56.45,$54.55
03/29/2022,$56.47,21463500,$57.28,$57.40,$56.13
03/28/2022,$55.92,25546280,$56.20,$56.28,$54.73
03/25/2022,$56.74,21206310,$56.53,$57.225,$56.44
03/24/2022,$56.42,16770240,$56.61,$56.635,$56.20
03/23/2022,$56.35,23070220,$57.12,$57.50,$56.00
03/22/2022,$57.50,23407370,$57.82,$58.25,$57.31
03/21/2022,$56.98,21661210,$57.83,$57.83,$56.75
03/18/2022,$57.35,30900500,$56.94,$57.625,$56.73
03/17/2022,$57.29,21432330,$55.71,$57.30,$55.03
03/16/2022,$56.80,31659790,$56.015,$57.54,$55.965
03/15/2022,$55.11,20747110,$54.46,$55.615,$54.35
03/14/2022,$54.23,25046010,$54.70,$55.2736,$53.83
03/11/2022,$54.16,20550930,$55.37,$55.69,$54.07
03/10/2022,$54.88,31942460,$55.02,$55.37,$53.9549
03/09/2022,$55.95,32757050,$56.90,$57.28,$55.81
03/08/2022,$54.87,43858110,$56.56,$57.29,$54.76
03/07/2022,$55.55,49710680,$55.03,$56.27,$54.07
