Date,Close/Last,Volume,Open,High,Low
03/03/2023,$143.66,9513063,$141.51,$143.74,$141.08
03/02/2023,$141.07,11107550,$142.24,$142.43,$139.54
03/01/2023,$142.55,7139155,$142.10,$143.4583,$141.80
02/28/2023,$143.35,11019760,$142.94,$143.76,$141.9001
02/27/2023,$142.16,10014650,$142.11,$143.31,$141.7201
02/24/2023,$140.93,9126888,$139.11,$141.36,$138.93
02/23/2023,$139.67,8068010,$138.73,$140.17,$137.94
02/22/2023,$138.56,11107500,$138.92,$139.43,$137.435
02/21/2023,$139.63,9996283,$140.69,$141.34,$138.75
02/17/2023,$142.24,7948829,$140.98,$142.83,$140.07
02/16/2023,$141.82,8165306,$142.91,$143.39,$141.676
02/15/2023,$143.80,6731172,$141.61,$143.89,$141.30
02/14/2023,$143.20,9249399,$142.50,$143.81,$141.595
02/13/2023,$142.57,7134607,$141.30,$142.73,$140.74
02/10/2023,$141.04,6582853,$139.78,$141.28,$138.59
02/09/2023,$140.42,6443109,$143.12,$143.34,$139.87
02/08/2023,$142.64,6957965,$142.65,$144.04,$142.2763
02/07/2023,$143.65,10447890,$141.38,$144.34,$141.18
02/06/2023,$141.92,8406231,$140.23,$142.24,$140.0313
02/03/2023,$141.09,11501230,$138.18,$142.33,$138.13
02/02/2023,$138.94,11822060,$140.00,$140.46,$138.00
02/01/2023,$139.59,8841846,$138.21,$140.875,$138.12
01/31/2023,$139.96,9188738,$139.88,$140.07,$138.25
01/30/2023,$139.13,6729255,$139.23,$140.09,$138.91
01/27/2023,$140.32,7489946,$140.61,$141.255,$139.7499
01/26/2023,$139.98,7487631,$139.42,$140.06,$138.36
01/25/2023,$139.12,8967007,$138.05,$139.12,$137.25
01/24/2023,$138.45,6944991,$140.29,$140.29,$135.00
01/23/2023,$137.27,10487130,$135.115,$137.96,$134.82
01/20/2023,$135.08,13092490,$135.16,$135.49,$133.55
01/19/2023,$134.75,13303370,$135.32,$135.90,$133.59
01/18/2023,$136.57,13392600,$138.92,$140.73,$136.41
01/17/2023,$140.80,14292880,$141.17,$141.54,$139.225
01/13/2023,$143.01,20200050,$135.60,$143.49,$134.80
01/12/2023,$139.49,11001670,$140.00,$140.86,$139.22
01/11/2023,$139.63,8703698,$138.90,$139.75,$138.10
01/10/2023,$138.60,9048665,$137.79,$138.72,$137.31
01/09/2023,$137.37,8482297,$138.60,$138.88,$136.88
01/06/2023,$137.94,10029080,$136.125,$138.38,$134.49
01/05/2023,$135.35,8381265,$135.66,$135.71,$133.7004
01/04/2023,$136.38,11687640,$135.99,$137.68,$135.57
01/03/2023,$135.12,11054780,$135.24,$136.74,$133.89
12/30/2022,$134.10,9292519,$132.81,$134.33,$132.44
12/29/2022,$133.22,6585228,$132.93,$133.27,$132.31
