Date,Close/Last,Volume,Open,High,Low
03/03/2023,$47.11,4566930,$46.52,$47.155,$46.38
03/02/2023,$46.31,6437048,$47.18,$47.18,$45.90
03/01/2023,$47.31,7123618,$47.185,$47.45,$46.90
02/28/2023,$47.73,6209326,$47.70,$48.045,$47.58
02/27/2023,$47.58,4260171,$47.93,$48.24,$47.48
02/24/2023,$47.64,4141573,$47.21,$47.71,$47.03
02/23/2023,$47.72,4319281,$47.865,$48.105,$47.31
02/22/2023,$47.54,4583323,$47.70,$47.87,$47.34
02/21/2023,$47.69,5793238,$48.20,$48.2601,$47.33
02/17/2023,$48.60,5191889,$48.42,$48.665,$48.20
02/16/2023,$48.55,4899972,$48.79,$48.94,$48.40
02/15/2023,$49.08,4227913,$48.85,$49.11,$48.655
02/14/2023,$49.13,4889583,$49.10,$49.29,$48.765
02/13/2023,$49.09,4906155,$48.67,$49.10,$48.62
02/10/2023,$48.70,5357280,$48.60,$48.885,$48.3432
02/09/2023,$48.77,5870521,$49.39,$49.50,$48.56
02/08/2023,$49.07,5809971,$49.13,$49.665,$48.95
02/07/2023,$49.67,5809144,$48.66,$49.80,$48.64
02/06/2023,$48.95,4997618,$48.94,$49.13,$48.6641
02/03/2023,$49.30,6579419,$48.82,$49.615,$48.71
02/02/2023,$49.15,6819848,$49.47,$49.65,$48.94
02/01/2023,$49.22,7611174,$49.24,$49.925,$49.00
01/31/2023,$49.80,7713994,$48.84,$49.81,$48.59
01/30/2023,$48.80,5943242,$48.57,$49.34,$48.54
01/27/2023,$48.86,6568239,$48.62,$48.89,$48.18
01/26/2023,$48.70,8316089,$49.68,$49.95,$48.325
01/25/2023,$49.15,12238550,$46.91,$49.68,$46.88
01/24/2023,$46.67,12459150,$47.75,$47.80,$46.4601
01/23/2023,$47.67,8136073,$46.68,$47.69,$46.535
01/20/2023,$46.46,8030471,$45.75,$46.47,$45.35
01/19/2023,$45.63,9136623,$45.40,$45.935,$44.92
01/18/2023,$45.81,8376688,$47.03,$47.29,$45.76
01/17/2023,$47.44,10150070,$47.58,$47.74,$46.805
01/13/2023,$47.33,8150558,$46.87,$47.40,$46.43
01/12/2023,$47.59,8934047,$47.45,$48.025,$47.30
01/11/2023,$47.11,8704853,$46.91,$47.33,$46.72
01/10/2023,$46.66,13631850,$46.75,$46.90,$45.955
01/09/2023,$46.61,13170760,$46.41,$46.80,$46.12
01/06/2023,$46.31,8198350,$46.00,$46.49,$45.42
01/05/2023,$45.67,8363985,$45.86,$46.00,$45.06
01/04/2023,$46.03,16338380,$45.11,$46.395,$45.11
01/03/2023,$44.64,12795970,$44.20,$45.03,$44.08
12/30/2022,$43.61,5737910,$43.40,$43.795,$43.28
12/29/2022,$43.57,5956358,$42.97,$43.625,$42.83
12/28/2022,$43.35,6379583,$43.72,$43.82,$43.075
12/27/2022,$43.65,7504195,$43.35,$43.75,$43.12
12/23/2022,$43.20,6931069,$42.83,$43.285,$42.73
12/22/2022,$42.85,12427740,$42.48,$42.85,$42.2529
12/21/2022,$42.71,9456349,$42.20,$43.00,$42.16
12/20/2022,$41.93,14208970,$42.11,$42.28,$41.805
12/19/2022,$41.95,11789120,$42.10,$42.655,$41.60
12/16/2022,$42.15,19310900,$42.50,$42.80,$41.83
12/15/2022,$42.84,10230230,$42.65,$43.035,$42.41
12/14/2022,$43.29,11240420,$44.08,$44.26,$42.9849
12/13/2022,$44.25,15543040,$44.52,$44.94,$43.91
12/12/2022,$43.46,10695780,$43.20,$43.61,$42.61
12/09/2022,$43.11,9097582,$43.36,$43.80,$43.03
12/08/2022,$43.56,6988985,$43.62,$43.665,$43.025
12/07/2022,$43.56,10132850,$42.76,$43.90,$42.47
12/06/2022,$42.94,9642383,$43.96,$44.055,$42.23
12/05/2022,$43.91,13725480,$45.64,$45.69,$43.62
12/02/2022,$45.64,10786770,$45.16,$45.73,$45.08
12/01/2022,$45.35,8492769,$45.39,$45.54,$44.85
11/30/2022,$45.39,11688770,$44.44,$45.52,$43.715
11/29/2022,$44.59,7854319,$43.80,$44.62,$43.70
11/28/2022,$43.74,6790652,$43.99,$44.29,$43.635
11/25/2022,$44.26,2564603,$44.25,$44.392,$44.0575
11/23/2022,$44.11,6225717,$43.93,$44.16,$43.82
11/22/2022,$43.91,6998973,$43.535,$43.95,$43.45
11/21/2022,$43.39,9331908,$43.37,$43.835,$43.26
11/18/2022,$43.38,6159676,$43.34,$43.485,$42.89
11/17/2022,$42.77,6376650,$42.44,$42.83,$42.33
11/16/2022,$42.93,9896173,$43.76,$43.81,$42.82
11/15/2022,$43.77,11171850,$44.49,$44.53,$43.315
11/14/2022,$43.85,8209755,$44.96,$45.06,$43.805
11/11/2022,$44.92,10692760,$44.44,$45.05,$44.44
11/10/2022,$44.87,14064610,$44.00,$45.02,$43.91
11/09/2022,$43.24,9423016,$43.79,$43.88,$43.16
11/08/2022,$44.17,12794720,$43.75,$44.36,$43.47
11/07/2022,$43.53,12207080,$43.20,$43.60,$42.755
11/04/2022,$42.83,13759470,$41.98,$42.885,$41.98
11/03/2022,$41.50,12857030,$41.18,$41.80,$40.565
11/02/2022,$41.75,9265894,$42.58,$43.15,$41.73
11/01/2022,$42.88,8043592,$42.80,$43.155,$42.305
10/31/2022,$42.45,11723820,$42.52,$42.96,$42.42
10/28/2022,$42.86,7775713,$42.16,$42.925,$41.98
10/27/2022,$42.08,7810277,$42.70,$42.965,$42.02
10/26/2022,$42.39,10211900,$42.00,$42.615,$41.95
